TRACK_ID,PATH,DURATION,split,npy_path,n_mels,n_frames
track_0012100,00/12100.mp3,198.3,train,artifacts/melspecs\00\12100.npy,128,1292
track_0012101,01/12101.mp3,237.4,train,artifacts/melspecs\01\12101.npy,128,1292
track_0012102,02/12102.mp3,202.5,train,artifacts/melspecs\02\12102.npy,128,1292
track_0014013,13/14013.mp3,263.7,train,artifacts/melspecs\13\14013.npy,128,1292
track_0014014,14/14014.mp3,221.4,train,artifacts/melspecs\14\14014.npy,128,1292
track_0014015,15/14015.mp3,162.5,train,artifacts/melspecs\15\14015.npy,128,1292
track_0014016,16/14016.mp3,245.7,train,artifacts/melspecs\16\14016.npy,128,1292
track_0014017,17/14017.mp3,207.4,train,artifacts/melspecs\17\14017.npy,128,1292
track_0014018,18/14018.mp3,155.8,train,artifacts/melspecs\18\14018.npy,128,1292
track_0014019,19/14019.mp3,154.5,train,artifacts/melspecs\19\14019.npy,128,1292
track_0022101,01/22101.mp3,187.1,train,artifacts/melspecs\01\22101.npy,128,1292
track_0025218,18/25218.mp3,189.5,train,artifacts/melspecs\18\25218.npy,128,1292
track_0031517,17/31517.mp3,184.9,train,artifacts/melspecs\17\31517.npy,128,1292
track_0036708,08/36708.mp3,338.1,train,artifacts/melspecs\08\36708.npy,128,1292
track_0036709,09/36709.mp3,354.6,train,artifacts/melspecs\09\36709.npy,128,1292
track_0036710,10/36710.mp3,471.1,train,artifacts/melspecs\10\36710.npy,128,1292
track_0036711,11/36711.mp3,384.1,train,artifacts/melspecs\11\36711.npy,128,1292
track_0036712,12/36712.mp3,580.1,train,artifacts/melspecs\12\36712.npy,128,1292
track_0036713,13/36713.mp3,282.0,train,artifacts/melspecs\13\36713.npy,128,1292
track_0036714,14/36714.mp3,478.4,train,artifacts/melspecs\14\36714.npy,128,1292
track_0036715,15/36715.mp3,316.0,train,artifacts/melspecs\15\36715.npy,128,1292
track_0045605,05/45605.mp3,204.0,train,artifacts/melspecs\05\45605.npy,128,1292
track_0045607,07/45607.mp3,209.8,train,artifacts/melspecs\07\45607.npy,128,1292
track_0049019,19/49019.mp3,63.0,train,artifacts/melspecs\19\49019.npy,128,1292
track_0053219,19/53219.mp3,480.0,train,artifacts/melspecs\19\53219.npy,128,1292
track_0078306,06/78306.mp3,210.1,train,artifacts/melspecs\06\78306.npy,128,1292
track_0078314,14/78314.mp3,267.0,train,artifacts/melspecs\14\78314.npy,128,1292
track_0078315,15/78315.mp3,112.4,train,artifacts/melspecs\15\78315.npy,128,1292
